Fold,Epoch,Train_Loss,Train_Acc,Train_F1,Val_Loss,Val_Acc,Val_F1
1,1,1.8281,0.2595,0.2521,1.5003,0.3596,0.2603
1,2,1.5735,0.3167,0.3002,1.4956,0.3502,0.2911
1,3,1.4976,0.3472,0.3211,1.3548,0.4243,0.3256
1,4,1.4374,0.3803,0.3509,1.2966,0.4558,0.3451
1,5,1.3629,0.406,0.3804,1.2448,0.4716,0.3366
1,6,1.2811,0.4419,0.4165,1.1548,0.4953,0.3846
1,7,1.1953,0.4909,0.4734,1.1153,0.5,0.4447
1,8,1.1414,0.5186,0.505,1.0413,0.5662,0.5463
1,9,1.0954,0.5371,0.5245,1.0103,0.571,0.5473
1,10,1.0416,0.5592,0.5472,0.9699,0.612,0.5895
1,11,0.9721,0.6015,0.5932,0.8959,0.6577,0.647
1,12,0.9303,0.6256,0.6172,0.8552,0.6782,0.6692
1,13,0.8992,0.641,0.6326,0.8546,0.6656,0.64
1,14,0.8775,0.658,0.6506,0.7993,0.6909,0.6776
1,15,0.8449,0.6742,0.6676,0.788,0.7035,0.6908
1,16,0.8248,0.6675,0.6586,0.7796,0.6877,0.6663
1,17,0.7864,0.6884,0.6813,0.7913,0.6625,0.642
1,18,0.7659,0.7014,0.6952,0.7732,0.7129,0.6872
1,19,0.775,0.7002,0.694,0.7751,0.6845,0.6701
1,20,0.7259,0.7227,0.7176,0.7132,0.724,0.7139
1,21,0.7152,0.7212,0.7164,0.7168,0.7066,0.6843
1,22,0.7169,0.7145,0.7091,0.7176,0.7208,0.7078
1,23,0.6818,0.7318,0.7268,0.6482,0.7429,0.7281
1,24,0.6843,0.7318,0.7274,0.6776,0.7382,0.7316
1,25,0.6582,0.7397,0.735,0.668,0.7492,0.7407
1,26,0.6334,0.7555,0.7515,0.6448,0.7492,0.7333
1,27,0.6449,0.7539,0.7506,0.6345,0.7666,0.751
1,28,0.6279,0.7618,0.758,0.6386,0.7587,0.7495
1,29,0.6054,0.7524,0.7486,0.6222,0.7713,0.7609
1,30,0.607,0.7686,0.765,0.6113,0.7476,0.7343
1,31,0.6055,0.7551,0.7516,0.5998,0.7823,0.7758
1,32,0.5721,0.7784,0.7761,0.6634,0.7303,0.7254
1,33,0.5861,0.78,0.777,0.5565,0.7792,0.7735
1,34,0.5896,0.7682,0.7647,0.6293,0.7634,0.7504
1,35,0.5707,0.782,0.7792,0.5952,0.7792,0.7685
